" Subject: Labour, Employment, Wages and Productivity "
 Topic : Employment 
" Title  : M182131 - Employed Residents Aged 15 Years And Over By Industry And Age Group, (June), Annual "
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Thousand
 Variables , 1990 , 1991 , 1992 , 1993 , 1994 , 1995 , 1996 , 1997 , 1998 , 1999 , 2000 , 2001 , 2002 , 2003 , 2004 , 2005 , 2006 , 2007 , 2008 , 2009 , 2010 , 2011 , 2012 , 2013 , 2014 , 2015 , 2016 , 2017 , 2018 , 2019 ,
             Professional Services , 6.8 , - , - , - , - , 8.9 , - , - , - , - , 6.5 , - , - , - , - , 6.9 , 8.3 , 7.7 , 9.8 , 7 , 9 , 8.9 , 10 , 8.7 , 9.2 , 11.3 , 10.3 , 9.6 , 10.6 , 10.2 ,
             Administrative & Support Services , 4.3 , - , - , - , - , 3.5 , - , - , - , - , 3.1 , - , - , - , - , 4.6 , 5.2 , 5 , 4.8 , 5.2 , 5.9 , 4.8 , 4.4 , 5.5 , 5 , 5.5 , 5.3 , 5.2 , 3.9 , 6.9 ,
"         Community, Social & Personal Services ", 48.5 , 56.2 , 58.5 , 59.5 , 59.6 , 53.8 , 52.5 , 54.3 , 51 , 53.9 , 49.8 , 59.4 , 59.8 , 62.2 , 63.8 , 48.6 , 64.6 , 53.9 , 57.1 , 62.5 , 68.7 , 72.2 , 77.7 , 70.5 , 74 , 71.9 , 70.2 , 65.4 , 63.5 , 61.1 ,
             Public Administration & Education , 38.3 , - , - , - , - , 44.6 , - , - , 43.5 , 45.8 , 42.1 , 50.7 , 52.3 , 54.7 , 53.1 , 40 , 53.3 , 43.4 , 46.1 , 49.7 , 54.4 , 56.4 , 60.2 , 56.3 , 57.3 , 54.2 , 53.7 , 48.2 , 48.1 , 45.4 ,
             Health & Social Services , 4.4 , - , - , - , - , 3.1 , - , - , 2.5 , 3.5 , 3.7 , 4.1 , 3.1 , 4.2 , 6.3 , 4.5 , 6.6 , 6.2 , 6.8 , 7.4 , 8 , 9.6 , 9.3 , 7.8 , 9.8 , 9.8 , 9.5 , 10.9 , 9.1 , 10.7 ,
"             Arts, Entertainment & Recreation ", na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , 3.8 , 3.7 , 5.6 , 4 , 4.5 , 4.1 , 4.1 , 3.8 , 3.6 , 2.6 ,
"             Other Community, Social & Personal Services ", na , na , na , na , na , na , na , na , na , na , na , 4.6 , 4.4 , 3.3 , 4.4 , - , - , - , - , - , 2.5 , 2.5 , 2.6 , 2.4 , 2.4 , 3.8 , 2.9 , 2.5 , 2.7 , 2.4 ,
     Other Industries Nes * , 0.8 , 0.4 , 0.7 , 0.3 , 0.3 , 0.9 , 0.3 , 0.9 , 0.4 , 0.6 , 0.5 , 0.3 , 0.5 , 0.6 , 0.3 , 0.6 , 0.8 , 0.4 , 0.4 , 0.5 , 1.3 , 0.9 , 1 , 0.9 , 1 , 0.9 , 0.8 , 0.6 , 0.9 , 0.7 ,
 Employed Residents Aged 25 - 29 Years , 234.9 , 229.2 , 229.3 , 214.4 , 217.4 , 199.7 , 205.4 , 216 , 206.7 , 214.2 , 212.2 , 209.7 , 197.9 , 198 , 193.9 , 202.3 , 201.9 , 199.9 , 197.9 , 204.1 , 210.7 , 204.6 , 197.7 , 198.3 , 204.9 , 208 , 226.5 , 217.2 , 223.5 , 224.7 ,
     Manufacturing , 70.9 , 72.5 , 74.2 , 68.6 , 63.6 , 49 , 55.9 , 54.3 , 49.8 , 48.8 , 41.1 , 40.9 , 36 , 37.4 , 33.2 , 32.6 , 32.3 , 33.6 , 31.5 , 27.4 , 25.5 , 24.5 , 22.6 , 20.1 , 17.7 , 13.7 , 16.2 , 14.8 , 15.2 , 13.7 ,
     Construction , 14.5 , 15.1 , 14.7 , 13 , 11.9 , 10.6 , 11.4 , 11.8 , 13 , 13.7 , 10.5 , 9.5 , 8.8 , 7.3 , 5.7 , 5.4 , 5.3 , 5.2 , 5.5 , 6.4 , 7.6 , 5.3 , 6.5 , 4.6 , 6.5 , 5.6 , 6.6 , 5.7 , 5.6 , 5.3 ,
